|title|subtitle|publishedDate|pageCount|categories|language|webReaderLink|palabras_de_busqueda
0|Educacion Matematica||1994|100.0||es|http://play.google.com/books/reader?id=3C1NH2xedbgC&hl=&source=gbs_api|matematica
1|Matematica: Razonamiento Y Aplicaciones 10/e||2005|948.0|['Mathematics']|es|http://play.google.com/books/reader?id=uapEWymIU6kC&hl=&source=gbs_api|matematica
2|Gaceta matemática|Suplemento. Problemas de matemáticas propuestos en los exámenes de ingreso en las escuelas de ingenieros y ayudantes. Convocatorias ordinaria y extraordinaria|1961|146.0|['Mathematics']|es|http://play.google.com/books/reader?id=d74_AQAAIAAJ&hl=&source=gbs_api|matematica
3|Matemática elemental||1946|334.0||es|http://play.google.com/books/reader?id=T6o_AQAAIAAJ&hl=&source=gbs_api|matematica
4|Introducción a la matemática de los juegos||1993-01-01|148.0|['Mathematics']|es|http://play.google.com/books/reader?id=lOSMErLnWDIC&hl=&source=gbs_api|matematica
5|Revista matemática hispano-americana||1979|270.0|['Mathematics']|es|http://play.google.com/books/reader?id=2acfAQAAMAAJ&hl=&source=gbs_api|matematica
6|Didactica De La Matematica En La Educacion Primaria Intercultural Bilingue||1993-06|154.0|['Education']|es|http://play.google.com/books/reader?id=GOKVjBOu8SYC&hl=&source=gbs_api|matematica
7|Inteligencia Matematica|||168.0||es|http://play.google.com/books/reader?id=e7kr_dmBuz0C&hl=&source=gbs_api|matematica
8|Matematica Preuniversitaria||1981|246.0||es|http://play.google.com/books/reader?id=4GpiEa8zZ-IC&hl=&source=gbs_api|matematica
9|Matemática elemental||1943|924.0|['Mathematics']|es|http://play.google.com/books/reader?id=uLHxAAAAMAAJ&hl=&source=gbs_api|matematica
10|Cálculo||2009|1350.0|['Mathematics']|es|http://play.google.com/books/reader?id=8KM_cgAACAAJ&hl=&source=gbs_api|calculo
11|Calculo Diferencial E Integral||2007|542.0||es|http://play.google.com/books/reader?id=YI6i4Bf7m4QC&hl=&source=gbs_api|calculo
12|Calculo||2007|876.0|['Calculus']|es|http://play.google.com/books/reader?id=9arm2pJLSCIC&hl=&source=gbs_api|calculo
13|Maestría en el cálculo||2008-11|246.0|['Games']|es|http://play.google.com/books/reader?id=z_RfPgAACAAJ&hl=&source=gbs_api|calculo
14|Calculus. I|Cálculo con funciones de una variable, con una introducción al Álgebra Lineal|1972|842.0|['Mathematics']|es|http://play.google.com/books/reader?id=Z5-JhzoChqIC&hl=&source=gbs_api|calculo
15|Cálculo en variedades||1970|156.0|['Mathematics']|es|http://play.google.com/books/reader?id=2HBMUI6xIJIC&hl=&source=gbs_api|calculo
16|Calculo 4000||1997|312.0|['Cálculo']|es|http://play.google.com/books/reader?id=dCjnoBvJf_cC&hl=&source=gbs_api|calculo
17|Cálculo Integral|Serie Universitaria Patria|2014-10-21|288.0|['Science']|es|http://play.google.com/books/reader?id=DuDhBAAAQBAJ&hl=&source=gbs_api|calculo
18|Programación y cálculo numérico||1985|354.0|['Mathematics']|es|http://play.google.com/books/reader?id=wgBJlHyWKnAC&hl=&source=gbs_api|calculo
19|Cálculo numérico||2014-01-01|192.0|['Education']|es|http://play.google.com/books/reader?id=W2k9DwAAQBAJ&hl=&source=gbs_api|calculo
20|Algebra y Trigonometria||2006-09-08|1200.0|['Algebra']|es|http://play.google.com/books/reader?id=44-YnoUhxOoC&hl=&source=gbs_api|algebra
21|Algebra Elemental||2007|742.0|['Algebra']|es|http://play.google.com/books/reader?id=pWbxzyEEmQ0C&hl=&source=gbs_api|algebra
22|Algebra Lineal Y Sus Aplicaciones||2007|586.0|['Algebra']|es|http://play.google.com/books/reader?id=lTIVrKT9CMIC&hl=&source=gbs_api|algebra
23|algebra|||306.0||es|http://play.google.com/books/reader?id=Gcmrzr_CMloC&hl=&source=gbs_api|algebra
24|Álgebra|||316.0|['Mathematics']|es|http://play.google.com/books/reader?id=iI55DwAAQBAJ&hl=&source=gbs_api|algebra
25|Recent Research on Pure and Applied Algebra||2003|168.0|['Algebra']|en|http://play.google.com/books/reader?id=zX3vN-iI4TEC&hl=&source=gbs_api|algebra
26|Cuestiones sobre álgebra lineal||2010-12-01|180.0|['Mathematics']|es|http://play.google.com/books/reader?id=9T0xvZtajBEC&hl=&source=gbs_api|algebra
27|Algebra intermedia||2004|860.0|['Algebra']|es|http://play.google.com/books/reader?id=v8hLwA-R9osC&hl=&source=gbs_api|algebra
28|Algebra Lineal|||96.0||es|http://play.google.com/books/reader?id=739M6RJGv2EC&hl=&source=gbs_api|algebra
29|Polynomials||2003-10-09|484.0|['Mathematics']|en|http://play.google.com/books/reader?id=CynRMm5qTmQC&hl=&source=gbs_api|algebra
30|Pensamiento Computacional 2°. Básico - IGER|||258.0|['Education']|es|http://play.google.com/books/reader?id=p8rKDwAAQBAJ&hl=&source=gbs_api|pensamiento computacional
31|Pensamiento Computacional 4.° Bachilerato|||360.0|['Education']|es|http://play.google.com/books/reader?id=4ZioEAAAQBAJ&hl=&source=gbs_api|pensamiento computacional
32|Separata Pensamiento Computacional - Segundo Básico Semestre II|||132.0|['Education']|es|http://play.google.com/books/reader?id=ohEeEAAAQBAJ&hl=&source=gbs_api|pensamiento computacional
33|Pensamiento Computacional 3° Básico - IGER|||324.0|['Education']|es|http://play.google.com/books/reader?id=xBTmDwAAQBAJ&hl=&source=gbs_api|pensamiento computacional
34|Escuela de Pensamiento Computacional e Inteligencia Artificial 2021/22. De la formación docente al cambio metodológico. Resultados de la investigación||2023-01-01|71.0|['Education']|es|http://play.google.com/books/reader?id=E3OzEAAAQBAJ&hl=&source=gbs_api|pensamiento computacional
35|Separata Pensamiento Computacional - Tercero Básico Semestre II|||158.0|['Education']|es|http://play.google.com/books/reader?id=kxMeEAAAQBAJ&hl=&source=gbs_api|pensamiento computacional
36|El Pensamiento Computacional, Análisis de Una Competencia Clave: II Edición||2019-03-03|238.0|['Education']|es|http://play.google.com/books/reader?id=QcDcwgEACAAJ&hl=&source=gbs_api|pensamiento computacional
37|Pensamiento Computacional 1° Básico - IGER|||220.0|['Education']|es|http://play.google.com/books/reader?id=pcDKDwAAQBAJ&hl=&source=gbs_api|pensamiento computacional
38|Cuaderno pensamiento computacional, Primaria|Steam|2018|39.0||es|http://play.google.com/books/reader?id=cYzluQEACAAJ&hl=&source=gbs_api|pensamiento computacional
39|Escuela de Pensamiento Computacional e Inteligencia Artificial 20/21: Enfoques y propuestas para su aplicación en el aula. Resultados de la investigación||2021-01-01|128.0|['Education']|es|http://play.google.com/books/reader?id=FhNuEAAAQBAJ&hl=&source=gbs_api|pensamiento computacional
40|Sanando con alimentos integrales|Tradiciones asiáticas y nutritión moderna|2007-09-18|836.0|['Health & Fitness']|es|http://play.google.com/books/reader?id=SDoySmumZl8C&hl=&source=gbs_api|integrales
41|Cálculo Integral||2002|510.0|['Mathematics']|es|http://play.google.com/books/reader?id=wwD5_lve6f4C&hl=&source=gbs_api|integrales
42|Operadores integrales de Fourier||1984|196.0|['Fourier integral operators']|es|http://play.google.com/books/reader?id=xx7vAAAAMAAJ&hl=&source=gbs_api|integrales
43|Cálculo Integral. La integral indefinida y métodos de integración||2014-12-31|178.0|['Education']|es|http://play.google.com/books/reader?id=S9BBDwAAQBAJ&hl=&source=gbs_api|integrales
44|Introducción a las series integrales de fourier||1970|124.0|['Mathematics']|es|http://play.google.com/books/reader?id=IyKYdoZ20iwC&hl=&source=gbs_api|integrales
45|Talleres integrales en educación infantil|una propuesta de organización del escenario escolar|1999|296.0||es|http://play.google.com/books/reader?id=bSMBb6FGUwAC&hl=&source=gbs_api|integrales
46|Proyectos Integrales|||158.0||es|http://play.google.com/books/reader?id=ynkzAQAAMAAJ&hl=&source=gbs_api|integrales
47|Cálculo de Integrales Indefinidas|||140.0||es|http://play.google.com/books/reader?id=B56yBQAAQBAJ&hl=&source=gbs_api|integrales
48|Ecuaciones Integrales: texto para el plan de maestría y doctorado en Física||2020-08-19|184.0|['Science']|es|http://play.google.com/books/reader?id=MFj4DwAAQBAJ&hl=&source=gbs_api|integrales
49|Seminario Sobre Adentamientos Rurales Integrales|||142.0||es|http://play.google.com/books/reader?id=_hyAiytsqSMC&hl=&source=gbs_api|integrales
50|Los determinantes||1999-01-01|92.0|['Spanish language']|es|http://play.google.com/books/reader?id=icB1QgAACAAJ&hl=&source=gbs_api|determinantes
51|Efecto de las intervenciones en salud en el perfil de determinantes intermedios y próximos de la mortalidad infantil para el período 1990-2000||2002|76.0|['Infants']|es|http://play.google.com/books/reader?id=mqbmAAAAIAAJ&hl=&source=gbs_api|determinantes
52|Determinantes Del Rendimiento Académico|(Variables Cognitivo-Motivacionales, Atribucionales, Uso de Estrategias y Autoconcepto)|1994|454.0|['Education']|es|http://play.google.com/books/reader?id=DEW5sI9LoBoC&hl=&source=gbs_api|determinantes
53|Los determinantes del crecimiento económico|comercio internacional, convergencia y las instituciones|2003-01-01|174.0|['Convergence (Economics)']|es|http://play.google.com/books/reader?id=pTOjpbeYBUkC&hl=&source=gbs_api|determinantes
54|Memoria sobre la teoría de las determinantes||1868|216.0|['Determinants']|es|http://play.google.com/books/reader?id=FuIf0cHqQxgC&hl=&source=gbs_api|determinantes
55|El paradigma determinante en español|origen nominativo, formación y características|2006|306.0|['Spanish language']|es|http://play.google.com/books/reader?id=6ENvvRSKRPoC&hl=&source=gbs_api|determinantes
56|Brecha Digital Y Sus Determinantes||2006|290.0|['Internet']|es|http://play.google.com/books/reader?id=2k1neys5RjsC&hl=&source=gbs_api|determinantes
57|Determinantes de la sustitución del colón costarricense 1987-2003||2000|40.0||es|http://play.google.com/books/reader?id=qYYVT_PUxCwC&hl=&source=gbs_api|determinantes
58|Los determinantes: Clases y usos.||2005-12-31|22.0|['Language Arts & Disciplines']|es|http://play.google.com/books/reader?id=MPwzBtPEFxEC&hl=&source=gbs_api|determinantes
59|Factores Determinantes de la Estructura||2009-02-10|312.0|['Business & Economics']|es|http://play.google.com/books/reader?id=XPIb1_bmKIUC&hl=&source=gbs_api|determinantes
60|Historia del Uruguay||1892|434.0|['Uruguay']|es|http://play.google.com/books/reader?id=_AR-S_N0Y2IC&hl=&source=gbs_api|historia uruguay
61|Historia mínima de Uruguay||2019-07-01|299.0|['History']|es|http://play.google.com/books/reader?id=gWzNDwAAQBAJ&hl=&source=gbs_api|historia uruguay
62|La historia escondida del Uruguay|Mitos verdades y dudas de nuestra historia|2019-07-10|192.0|['History']|es|http://play.google.com/books/reader?id=VxajDwAAQBAJ&hl=&source=gbs_api|historia uruguay
63|Historia del Uruguay|desde los orígenes hasta nuestros días|1992|646.0|['Uruguay']|es|http://play.google.com/books/reader?id=ZIIvAQAAMAAJ&hl=&source=gbs_api|historia uruguay
64|Compendio de la historia de la República O. del Uruguay|comprendiendo el descubrimiento, conquista y población del Rio de la Plata|1895|454.0|['Uruguay']|es|http://play.google.com/books/reader?id=CZ0zAQAAIAAJ&hl=&source=gbs_api|historia uruguay
65|Breve historia del Uruguay independiente||2005|176.0|['Uruguay']|es|http://play.google.com/books/reader?id=VQ1uAAAAMAAJ&hl=&source=gbs_api|historia uruguay
66|Historia del Uruguay y de America||1965|896.0|['America']|es|http://play.google.com/books/reader?id=rJMvAQAAMAAJ&hl=&source=gbs_api|historia uruguay
67|Apuntes para la historia de la República oriental del Uruguay desde el año de 1810 hasta el de 1852, por A. D. de P.||1864|406.0||fr|http://play.google.com/books/reader?id=pywOAAAAQAAJ&hl=&source=gbs_api|historia uruguay
