|Texto|Tema|Probabilidad
0|Educacion Matematica|2|0.7733071
1|Matematica: Razonamiento Y Aplicaciones 10/e|2|0.8295214
2|Gaceta matemática|1|0.7768654
3|Matemática elemental|1|0.77737653
4|Introducción a la matemática de los juegos|1|0.48492715
5|Revista matemática hispano-americana|1|0.5040555
6|Didactica De La Matematica En La Educacion Primaria Intercultural Bilingue|0|0.92623115
7|Inteligencia Matematica|2|0.7738172
8|Matematica Preuniversitaria|2|0.6621963
9|Matemática elemental|1|0.7773766
10|Cálculo|1|0.6653303
11|Calculo Diferencial E Integral|2|0.81893015
12|Calculo|2|0.66592544
13|Maestría en el cálculo|2|0.67813945
14|Calculus. I|0|0.33333334
15|Cálculo en variedades|2|0.5920475
16|Calculo 4000|2|0.6659256
17|Cálculo Integral|1|0.77212405
18|Programación y cálculo numérico|1|0.6143717
19|Cálculo numérico|1|0.77700937
20|Algebra y Trigonometria|1|0.4642857
21|Algebra Elemental|1|0.77742434
22|Algebra Lineal Y Sus Aplicaciones|1|0.8548776
23|algebra|1|0.66626143
24|Álgebra|2|0.65931755
25|Recent Research on Pure and Applied Algebra|1|0.91515994
26|Cuestiones sobre álgebra lineal|2|0.8598312
27|Algebra intermedia|1|0.77690566
28|Algebra Lineal|1|0.7632161
29|Polynomials|1|0.66424644
30|Pensamiento Computacional 2°. Básico - IGER|1|0.8657064
31|Pensamiento Computacional 4.° Bachilerato|1|0.83149844
32|Separata Pensamiento Computacional - Segundo Básico Semestre II|1|0.91617435
33|Pensamiento Computacional 3° Básico - IGER|1|0.86570716
34|Escuela de Pensamiento Computacional e Inteligencia Artificial 2021/22. De la formación docente al cambio metodológico. Resultados de la investigación|0|0.9123377
35|Separata Pensamiento Computacional - Tercero Básico Semestre II|1|0.91617435
36|El Pensamiento Computacional|1|0.6221764
37|Pensamiento Computacional 1° Básico - IGER|1|0.8657071
38|Cuaderno pensamiento computacional|1|0.8314235
39|Escuela de Pensamiento Computacional e Inteligencia Artificial 20/21: Enfoques y propuestas para su aplicación en el aula. Resultados de la investigación|2|0.70234865
40|Sanando con alimentos integrales|0|0.8602711
41|Cálculo Integral|1|0.77216655
42|Operadores integrales de Fourier|1|0.47096688
43|Cálculo Integral. La integral indefinida y métodos de integración|0|0.6274188
44|Introducción a las series integrales de fourier|0|0.89933395
45|Talleres integrales en educación infantil|0|0.8824729
